conversation_id,tweet_id,created_at,username,full_text,like_count,retweet_count,reply_count,is_quote_status,user_followers,lang,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:48:38 +0000 2025,KottoRk,@tempodotco Bukti nyata program presiden sebelumnya ngak pakai analisa matang dan semuanya pejabat pendukung ABS.,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:39:50 +0000 2025,lobaKaheureui,"@evalez_fr @Dandhy_Laksono @tempodotco @jokowi @KejaksaanRI Wah wah jadi @KejaksaanRI kenapa yang berkaitan dengan Mulyono begitu kuat?
Punya jasa apa Mulyono terhadap @KejaksaanRI ?",1,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:39:00 +0000 2025,balamvin,@Dandhy_Laksono @dwi_brom @tempodotco @jokowi @prabowo Termasuk @fadlizon 🤣🤣🤣,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:35:34 +0000 2025,nurhali20364872,"@Jinaka10 @sagitarommy @tempodotco SDM rendah itu lu ngomong mental nyinyir doang, minimal adu argumen by data biar keliatan oonnya",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:35:30 +0000 2025,evalez_fr,"@lobaKaheureui @Dandhy_Laksono @tempodotco @jokowi @KejaksaanRI Jangankan Mulyono, ama Siplester aja ga berkutik",1,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:21:08 +0000 2025,Jinaka10,"@nurhali20364872 @sagitarommy @tempodotco nih sdm rendah murni dari lahir gw tag @nurhali20364872 
noh udah di tag, cepet kata katain",0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:19:50 +0000 2025,NyemilQ,"@simple_outfittt @tempodotco Simple saja, yang koar2 dulu sudah banyak investor yg antri dan harapan palsu lainnya dari mulut siapa. Klo smpe Stuck ya Jokowi dkk PATUT di adili karena jelas merugikan negara...",1,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:17:07 +0000 2025,fachxxx,@tempodotco Tdk seenteng itu. Hrs diusut jg pembodohan publik oleh si tol0l rajanya org2 bodoh yg bilang gak pake APBN.,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 06:00:50 +0000 2025,sebutsajakucing,"@Dandhy_Laksono @tempodotco @jokowi 11-12 dengan penggantinya bikin kebijakan serampangan

Enaknya bikin kepanjangan dari program2 serampangan

IKN: Inisiatif Korupsi Nasional

Food Estate: Foya-foya Orde Elit, Sawah Terbengkalai Akhirnya Tidak Efektif

Danantara: Dana Andalan Nasional untuk Tindakan Amburadul",8,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:59:22 +0000 2025,Farisa_Dh,"@nurhali20364872 @Ryandisajja @tempodotco Stres lu ngamuk2!  IKN mangkrak gak duit buat lanjutin, utang negara aja bunganya belum kebayar.  Udah jangan kayak orang gila lu!",0,0,2,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:55:49 +0000 2025,Sndykurniawan,@nurhali20364872 @Ryandisajja @tempodotco https://t.co/7JLQEqMJpl,0,0,1,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:53:00 +0000 2025,irfan_alwazani,"@RheaZahiya @tempodotco Lucu memang, growth ekonominya apa ada di daerah yang tidak ada penduduknya? Investor itu yang dicari growth.",3,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:51:40 +0000 2025,rosiforqueen,@herry_zudianto @tempodotco Sabdo Pak Herry @herry,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:51:02 +0000 2025,terbahagiakan,"@Dandhy_Laksono @tempodotco @jokowi Jangan mau njir dikasih narasi rekonsiliasi-rekonsiliasi nasional, Jowoki mesti diadili, soalnya termul sekarang dah mulai banyak yg ngeluarin jurus ini biar mereka segerombolan bisa bebas dari kesalahan",9,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:49:51 +0000 2025,akmal_ardi78,@tempodotco @jokowi balikin hutannya gk!,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:49:38 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco https://t.co/dUYKAd9Lta,0,0,1,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:49:29 +0000 2025,nurhali20364872,@anakodok2009 @tempodotco Yg mangkrak itu ladang Mak kau ga prnah digarap bapak kau https://t.co/8T4SaXYCwC,0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:47:10 +0000 2025,gannicus212,@heroekoe @Dandhy_Laksono @tempodotco @jokowi Indonesia bubar,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:21:08 +0000 2025,albrightonne,@tempodotco Akhh langsung saja #AdiliJokowi 💥,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:17:45 +0000 2025,DewaYasmin,"@Dandhy_Laksono @tempodotco @jokowi Setuju,harus ada pertanggung jawaban secara hukum,makanya aku curiga kondisi gaduh saat ini diciptakan utk mengalihkan perhatian atas kesalahan2 fatal pengelola negara.semoga rakyat makin cerdas dan sadar.",5,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:17:37 +0000 2025,Adhikatama1,@Dandhy_Laksono @tempodotco @jokowi Proyek MERCU SUAR..  rakyat dibiarkan lapar lalu DIHIBUR dengan MELEMPARKAN BANSOS!,2,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:17:36 +0000 2025,jepunlembayung,"@tempodotco pentingnya punya presiden yg sekolah dan prestasinya valid. Kalau gak proses berpikirnya gak jelas. Meremehkan riset, duit rakyar abis gak jelas!!!",4,2,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:16:56 +0000 2025,trivialiner,"@tempodotco Baru tau wapres perlu istana, sumpah ini negara apaan
Terus apakah mbg akan menyusul ikn, kenapa selalu ada rencana yang tidak rampung padahal uang yg di berikan tidak sedikit? Apalagi ikn ga semua warga indo bisa merasakan",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 05:13:52 +0000 2025,Legislator75,"@blank0429 @Dandhy_Laksono @tempodotco @jokowi Di kasus perdata arahannya dari ketua MA, sdngkn pidana dari parcok...brp bnyak digelontorkn duit buat mrk ini, duitnya drimn???",3,0,0,0,0,in,,,,,,,,,,
